,Hospital,Birth Trauma,Doctors Always Communicated Well,"Emergency Department Visits, Total",Healthcare Facility Onset Incidence Rate of Clostridium difficile infections (CDI),Healthcare Facility Onset Incidence Rate of Methicillin-resistant Staphylococcus aureus (MRSA) blood stream infections,Number of Beds,Nurses Always Communicated Well,Patient's Room Always Kept Quiet At Night,Patient's Room and Bathroom Always Kept Clean,Patients Always Received Help As Soon As They Wanted,Patients Given Information About Recovery At Home,Patients Would Definitely Recommend This Hospital to Friends and Family,"Patients who ""Strongly Agree"" they understood their care when they left the hospital ",Patients who developed a blood clot while in the hospital who did not get treatment that could have prevented it,Percent RN Nursing Staff Hours (Critical Care),Percent RN Nursing Staff Hours (Medical-Surgical),Percent RN Nursing Staff Hours (Mother/Baby),Percent RN Nursing Staff Hours (NICU),Percent of Patients Highly Satisfied,Percentage of Nursing Hours Worked by Contractual RNs (Critical Care),Percentage of Nursing Hours Worked by Contractual RNs (Medical-Surgical),Percentage of Nursing Hours Worked by Contractual RNs (Mother/Baby),Percentage of Nursing Hours Worked by Contractual RNs (NICU),RN Turnover Rate in the Critical Care Unit,RN Turnover Rate in the Medical-Surgical Unit,RN Turnover Rate in the Mother/Baby Unit,RN Turnover Rate in the NICU,Time from ED arrival to diagnostic evaluation by a qualified medical professional,Total RN Nursing Hours per Patient Day (Critical Care),Total RN Nursing Hours per Patient Day (Medical-Surgical),Total RN Nursing Hours per Patient Day (Mother/Baby),Total RN Nursing Hours per Patient Day (NICU),Unexpected Deaths
0,hospital_101152: Graham Hospital,0,85,13205 ,2,,87,80,54,76,68,89,60,48,,93.18,63.88 ,99.63,0,69,0,3.33,0,0,0 ,0 ,0 ,0 ,9 ,16.93 ,4.76 ,18.01 ,0 ,3
1,hospital_101153: Alton Memorial Hospital,0,76,35566 ,2,2,181,78,58,71,64,88,71,54,,90.26,92.03 ,72.46,0,71,0,0,0,0,7.41 ,7.69 ,15.38 ,0 ,16 ,15.11 ,6.9 ,8.45 ,0 ,3
2,hospital_101154: Amita Health Saint Joseph Medical Center Joliet,0,76,57237 ,3,3,498,77,65,67,63,84,63,49,0,90.65,66.85 ,86.08,0,65,0.1,0,0,0,17.76 ,16.28 ,7.14 ,0 ,40 ,16.73 ,6.81 ,12.17 ,0 ,2
3,hospital_101155: Loyola Gottlieb Memorial Hospital,,78,25358 ,3,2,247,78,57,72,66,85,63,49,,95.07,79.32 ,0,0,62,0,0.05,0,0,3.33 ,9.84 ,0 ,0 ,29 ,15.28 ,7.12 ,0 ,0 ,1
4,hospital_101156: Northshore Univ HS Evanston Hospital,2,81,35149 ,3,2,354,80,61,75,64,86,77,53,,83.26,60.44 ,77.54,98.76,74,0,0,0,0,13.85 ,22.45 ,5.77 ,8.6 ,37 ,16.26 ,5.75 ,8.43 ,11.84 ,3
5,hospital_101157: Herrin Hospital,,79,28653 ,1,,114,79,57,74,63,84,74,51,,99.96,98.54 ,0,0,72,0,2.82,0,0,5.88 ,36.96 ,0 ,0 ,17 ,12.77 ,6.51 ,0 ,0 ,3
6,hospital_101158: Katherine Shaw Bethea Hospital,0,80,18758 ,2,,80,79,62,76,72,89,73,57,,77.46,51.44 ,99.32,0,76,8.91,2.12,5.47,0,11.11 ,10.64 ,15 ,0 ,19 ,11.8 ,6 ,14.42 ,0 ,3
7,hospital_101159: Unitypoint Health - Proctor,,79,18682 ,2,,210,80,47,67,64,88,72,51,,99.05,71.97 ,0,0,72,5.55,6.78,0,0,14.29 ,20 ,0 ,0 ,10 ,15.02 ,6.6 ,0 ,0 ,3
8,hospital_101160: Blessing Hospital,0,79,40468 ,2,2,327,80,58,71,65,91,70,56,0,80.55,60.3 ,82.45,0,71,5.41,10.73,0,0,15.38 ,40.79 ,14.29 ,0 ,10 ,14.19 ,5.19 ,11.53 ,0 ,3
9,hospital_101162: Mount Sinai Hospital,0,75,36770 ,2,2,288,70,55,57,50,77,44,38,0,99.98,71.11 ,81.39,99.95,48,0.12,0.36,0.01,0,23.08 ,25.42 ,6.9 ,5.88 ,62 ,23.61 ,4.86 ,8.39 ,12 ,3
10,hospital_101163: HSHS Good Shepherd Hospital,,87,4707 ,,,30,92,73,94,92,88,71,61,,0,68.52 ,0,0,65,0,0,0,0,0 ,33.33 ,0 ,0 ,9 ,0 ,5.9 ,0 ,0 ,0
