,Hosp_Name,metrics,values
0,Saint Joseph Hospital Elgin - AMITA,rating_overall,1.0
1,Saint Joseph Hospital Elgin - AMITA,rating_overall,1.0
2,Saint Joseph Hospital Elgin - AMITA,rating_overall,3.0
3,Saint Joseph Hospital Elgin - AMITA,rating_overall,3.0
4,Saint Joseph Hospital Elgin - AMITA,rating_overall,3.0
5,Saint Joseph Hospital Elgin - AMITA,rating_overall,4.0
6,Saint Joseph Hospital Elgin - AMITA,rating_overall,5.0
7,Saint Joseph Hospital Elgin - AMITA,rating_overall,1.0
8,Saint Joseph Hospital Elgin - AMITA,rating_overall,5.0
9,Saint Joseph Hospital Elgin - AMITA,rating_overall,1.0
10,Saint Joseph Hospital Elgin - AMITA,rating_overall,1.0
11,Saint Joseph Hospital Elgin - AMITA,rating_overall,3.0
12,Saint Joseph Hospital Elgin - AMITA,rating_overall,3.0
13,Saint Joseph Hospital Elgin - AMITA,rating_overall,3.0
14,Saint Joseph Hospital Elgin - AMITA,rating_overall,4.0
15,Saint Joseph Hospital Elgin - AMITA,rating_overall,1.0
16,Mercyhealth Javon Bea Rockford,rating_overall,2.0
17,Mercyhealth Javon Bea Rockford,rating_overall,3.0
18,Mercyhealth Javon Bea Rockford,rating_overall,2.0
19,Mercyhealth Javon Bea Rockford,rating_overall,4.0
20,Mercyhealth Javon Bea Rockford,rating_overall,5.0
21,Mercyhealth Javon Bea Rockford,rating_overall,1.0
22,Mercyhealth Javon Bea Rockford,rating_overall,1.0
23,Mercyhealth Javon Bea Rockford,rating_overall,2.0
24,Mercyhealth Javon Bea Rockford,rating_overall,5.0
25,Mercyhealth Javon Bea Rockford,rating_overall,5.0
26,Mercyhealth Javon Bea Rockford,rating_overall,5.0
27,Mercyhealth Javon Bea Rockford,rating_overall,2.0
28,Mercyhealth Javon Bea Rockford,rating_overall,3.0
29,Mercyhealth Javon Bea Rockford,rating_overall,2.0
30,Mercyhealth Javon Bea Rockford,rating_overall,4.0
31,Mercyhealth Javon Bea Rockford,rating_overall,1.0
32,Mercyhealth Javon Bea Rockford,rating_overall,1.0
33,Mercyhealth Javon Bea Rockford,rating_overall,2.0
34,Mercyhealth Javon Bea Rockford,rating_overall,5.0
35,Mercyhealth Javon Bea Rockford,rating_overall,5.0
36,Mercyhealth Javon Bea Rockford,rating_overall,5.0
37,Mercyhealth Javon Bea Rockford,rating_overall,2.0
38,Mercyhealth Javon Bea Rockford,rating_overall,3.0
39,Mercyhealth Javon Bea Rockford,rating_overall,2.0
40,Mercyhealth Javon Bea Rockford,rating_overall,4.0
41,Mercyhealth Javon Bea Rockford,rating_overall,1.0
42,Mercyhealth Javon Bea Rockford,rating_overall,1.0
43,Mercyhealth Javon Bea Rockford,rating_overall,2.0
44,Mercyhealth Javon Bea Rockford,rating_overall,5.0
45,Mercyhealth Javon Bea Rockford,rating_overall,5.0
46,Health Adventist Medical Center Bolingbrook - AMITA,rating_overall,4.0
47,Health Adventist Medical Center Bolingbrook - AMITA,rating_overall,4.0
48,Health Adventist Medical Center Bolingbrook - AMITA,rating_overall,5.0
49,Health Adventist Medical Center Bolingbrook - AMITA,rating_overall,2.0
50,Health Adventist Medical Center Bolingbrook - AMITA,rating_overall,4.0
51,Health Adventist Medical Center Bolingbrook - AMITA,rating_overall,3.0
52,Health Adventist Medical Center Bolingbrook - AMITA,rating_overall,4.0
53,Health Adventist Medical Center Bolingbrook - AMITA,rating_overall,5.0
54,Health Adventist Medical Center Bolingbrook - AMITA,rating_overall,4.0
55,Health Adventist Medical Center Bolingbrook - AMITA,rating_overall,4.0
56,Health Adventist Medical Center Bolingbrook - AMITA,rating_overall,2.0
57,Health Adventist Medical Center Bolingbrook - AMITA,rating_overall,4.0
58,Health Adventist Medical Center Bolingbrook - AMITA,rating_overall,3.0
59,Health Adventist Medical Center Bolingbrook - AMITA,rating_overall,4.0
60,HSHS St Mary's Hospital,rating_overall,4.0
61,HSHS St Mary's Hospital,rating_overall,2.0
62,HSHS St Mary's Hospital,rating_overall,3.0
63,HSHS St Mary's Hospital,rating_overall,5.0
64,Illini Community Hospital -Blessing,rating_overall,4.0
65,Illini Community Hospital -Blessing,rating_overall,3.0
66,Illini Community Hospital -Blessing,rating_overall,5.0
67,Illini Community Hospital -Blessing,rating_overall,4.0
68,Illini Community Hospital -Blessing,rating_overall,5.0
69,Illini Community Hospital -Blessing,rating_overall,5.0
70,Illini Community Hospital -Blessing,rating_overall,4.0
71,Illini Community Hospital -Blessing,rating_overall,4.0
72,Illini Community Hospital -Blessing,rating_overall,3.0
73,Illini Community Hospital -Blessing,rating_overall,5.0
74,Illini Community Hospital -Blessing,rating_overall,5.0
75,Illini Community Hospital -Blessing,rating_overall,5.0
76,Illini Community Hospital -Blessing,rating_overall,2.0
77,Illini Community Hospital -Blessing,rating_overall,5.0
78,Illini Community Hospital -Blessing,rating_overall,3.0
79,Illini Community Hospital -Blessing,rating_overall,3.0
80,Illini Community Hospital -Blessing,rating_overall,3.0
81,Illini Community Hospital -Blessing,rating_overall,4.0
82,Illini Community Hospital -Blessing,rating_overall,4.0
83,Illini Community Hospital -Blessing,rating_overall,3.0
84,Illini Community Hospital -Blessing,rating_overall,5.0
85,Illini Community Hospital -Blessing,rating_overall,5.0
86,Illini Community Hospital -Blessing,rating_overall,4.0
87,Illini Community Hospital -Blessing,rating_overall,4.0
88,Illini Community Hospital -Blessing,rating_overall,1.0
89,Illini Community Hospital -Blessing,rating_overall,3.0
90,Illini Community Hospital -Blessing,rating_overall,3.0
91,Illini Community Hospital -Blessing,rating_overall,4.0
92,Illini Community Hospital -Blessing,rating_overall,1.0
93,Illini Community Hospital -Blessing,rating_overall,2.0
94,Illini Community Hospital -Blessing,rating_overall,2.0
95,Memorial Hospital Carbondale,rating_overall,5.0
96,Memorial Hospital Carbondale,rating_overall,4.0
97,Memorial Hospital Carbondale,rating_overall,4.0
98,Memorial Hospital Carbondale,rating_overall,5.0
99,Memorial Hospital Carbondale,rating_overall,5.0
100,Memorial Hospital Carbondale,rating_overall,5.0
101,Memorial Hospital Carbondale,rating_overall,5.0
102,Memorial Hospital Carbondale,rating_overall,2.0
103,Iroquois Memorial Hospital,rating_overall,5.0
104,Iroquois Memorial Hospital,rating_overall,5.0
105,Iroquois Memorial Hospital,rating_overall,5.0
106,Iroquois Memorial Hospital,rating_overall,2.0
