,full_text,date,employee_title,location,employee_status,review_title,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,Hosp_Name
0,"April 6, 2018
Helpful (1)
""Avoid hospital""
Former Employee - Registered Nurse in Elgin, IL
Doesn't Recommend
Negative Outlook
Disapproves of CEO
I worked at Presence Health full-time for more than a year
Pros
The cafeteria has good food and well priced.
Cons
Worst hospital I’ve worked in. The administration is very poor and the hospital system on doing things is extremely outdated. They still have physical charts follow the patients. Literally charts. Turn over for staff is always happening as evident by the old culture.
Advice to Management
Don’t hire my friends or family because I wouldn’t want them to work here.
Helpful (1)",Fri Apr 06 2018 04:09:02 GMT-0400 (Eastern Daylight Time), Registered Nurse,"Elgin, IL",Former Employee ,Avoid hospital,1.0,2.0,1.0,2.0,2.0,1.0,Saint Joseph Hospital Elgin - AMITA
1,"October 10, 2017
""Registered nurse""
Current Employee - Registered Nurse in Elgin, IL
Doesn't Recommend
Negative Outlook
Disapproves of CEO
I have been working at Presence Health full-time
Pros
Pay was okay, gave me a sign on bonus but more than half was taxes.
Cons
Unorganized, they don't teach, disrespectful doctors, staff was mean, very poor patient safety.
Advice to Management
Not really aware
Helpful",Tue Oct 10 2017 13:29:53 GMT-0400 (Eastern Daylight Time), Registered Nurse,"Elgin, IL",Current Employee ,Registered nurse,1.0,3.0,1.0,2.0,2.0,1.0,Saint Joseph Hospital Elgin - AMITA
2,"January 21, 2017
Helpful (2)
""Registered Nurse""
Current Employee - Registered Nurse in Elgin, IL
Doesn't Recommend
Approves of CEO
I have been working at Presence Health full-time
Pros
- The seasoned Nurses are knowledgeable and helpful.
- The PCU Nurses are well-versed and dependable.
- The orientation process in the PCU is structured and provides you the needed background to ready oneself to be on their own.
Cons
- The ICU utilizes a lot of Agency Nurses, which affects the orientation process of new graduate nurses. The orientation process lacks structure and continuity to successfully prepare a new graduate to be on their own. The approach is to just ""throw you into it"" and have you figure it out.
- Nurses that gossip about fellow staff members and patients throughout the shift (3rd floor, for example). 3rd floor staff...
Show More
Advice to Management
- Structured staffing for Nurses and CNAs, not floating RNs and CNAs to other floors and causing other floors to be short-staffed and have Nurses end up with less-than-ideal patient ratios.
Helpful (2)",Sat Jan 21 2017 22:07:59 GMT-0500 (Eastern Standard Time), Registered Nurse,"Elgin, IL",Current Employee ,Registered Nurse,3.0,3.0,2.0,3.0,3.0,2.0,Saint Joseph Hospital Elgin - AMITA
3,"May 19, 2016
Helpful (2)
""Community Programs Coordinator""
 in Elgin, IL
Doesn't Recommend
Negative Outlook
No opinion of CEO
I worked at Presence Health
Pros
Helping patients and family members
Cons
Constant changes and no direction from executives or corporate
Helpful (2)",Thu May 19 2016 07:42:06 GMT-0400 (Eastern Daylight Time),,"Elgin, IL"," in Elgin, IL",Community Programs Coordinator,3.0,,,,,,Saint Joseph Hospital Elgin - AMITA
4,"September 3, 2015
""Registered Nurse""
Registered Nurse in Elgin, IL
Recommends
Positive Outlook
Disapproves of CEO
I have been working at Presence Health
Pros
Great staff members with interesting patients. Opportunities to learn
Cons
Always understaffed. Main concern is productivity. Nurses are not given nearly enough respect. Although, that seems to be healthcare in general.
Advice to Management
Fight for the nurses.
Helpful",Thu Sep 03 2015 10:28:33 GMT-0400 (Eastern Daylight Time),,"Elgin, IL","Registered Nurse in Elgin, IL",Registered Nurse,3.0,3.0,4.0,1.0,1.0,1.0,Saint Joseph Hospital Elgin - AMITA
5,"June 22, 2015
""cna""
Dietary Aide in Elgin, IL
I have been working at Presence Health for more than a year
Pros
good benefits and good pay
Cons
too many patients per cna
Helpful",Mon Jun 22 2015 21:22:48 GMT-0400 (Eastern Daylight Time),,"Elgin, IL","Dietary Aide in Elgin, IL",cna,4.0,,,,,,Saint Joseph Hospital Elgin - AMITA
6,"May 21, 2015
""Good place to work,""
Current Employee - Certified Nursing Assistant in Elgin, IL
Recommends
Positive Outlook
I have been working at Presence Health part-time for more than a year
Pros
The night shift team rocks!! Everyone is a team player, and we function as a team.
Cons
I work on the rehab unit and we are extremely understaffed.
Helpful",Thu May 21 2015 12:52:35 GMT-0400 (Eastern Daylight Time), Certified Nursing Assistant,"Elgin, IL",Current Employee ,"Good place to work,",5.0,3.0,5.0,2.0,2.0,3.0,Saint Joseph Hospital Elgin - AMITA
7,"June 2, 2014
Helpful (2)
""Staffing is cut to almost nothing. Salaries cut. Low census mandatory.""
Current Employee - Registered Nurse in Elgin, IL
Doesn't Recommend
Negative Outlook
Disapproves of CEO
I have been working at Presence Health part-time for more than 10 years
Pros
I haven't found one yet.
Cons
It's all about productivity, whether it matters to your job or not. They keep adding more and more work to their employees and cutting their hours/pay. People are leaving like crazy! Many top managers/administrators have left in the past couple of months. Quit having your employees doing housekeeping and other chores. Embarrassing how employees are treated.
Advice to Management
Staff your hospital. Quit expecting us to do everything when you cut our hours AND pay and dump more work on us. Ridiculous! How many units can one manager handle? How many positions can one employee handle? I am currently doing the work of 5 people-one person is on leave, one person quit and two people were laid off. Oh and I had to take a pay cut when my work quadrupled. Nobody listens to us. Nobody cares. I am...
Show More
Helpful (2)",Mon Jun 02 2014 11:13:11 GMT-0400 (Eastern Daylight Time), Registered Nurse,"Elgin, IL",Current Employee ,Staffing is cut to almost nothing. Salaries cut. Low census mandatory.,1.0,1.0,1.0,1.0,1.0,1.0,Saint Joseph Hospital Elgin - AMITA
8,"May 21, 2015
""Good place to work,""
Current Employee - Certified Nursing Assistant in Elgin, IL
Recommends
Positive Outlook
I have been working at Presence Health part-time for more than a year
Pros
The night shift team rocks!! Everyone is a team player, and we function as a team.
Cons
I work on the rehab unit and we are extremely understaffed.
Helpful",Thu May 21 2015 12:52:35 GMT-0400 (Eastern Daylight Time), Certified Nursing Assistant,"Elgin, IL",Current Employee ,"Good place to work,",5.0,3.0,5.0,2.0,2.0,3.0,Saint Joseph Hospital Elgin - AMITA
9,"April 6, 2018
Helpful (1)
""Avoid hospital""
Former Employee - Registered Nurse in Elgin, IL
Doesn't Recommend
Negative Outlook
Disapproves of CEO
I worked at Presence Health full-time for more than a year
Pros
The cafeteria has good food and well priced.
Cons
Worst hospital I’ve worked in. The administration is very poor and the hospital system on doing things is extremely outdated. They still have physical charts follow the patients. Literally charts. Turn over for staff is always happening as evident by the old culture.
Advice to Management
Don’t hire my friends or family because I wouldn’t want them to work here.
Helpful (1)",Fri Apr 06 2018 04:09:02 GMT-0400 (Eastern Daylight Time), Registered Nurse,"Elgin, IL",Former Employee ,Avoid hospital,1.0,2.0,1.0,2.0,2.0,1.0,Saint Joseph Hospital Elgin - AMITA
